PM 2.5,PM 10,CO,CO2
41.5,48.1,1.70725,403.35114
40.2,46.6,1.67891,403.43283
39.5,48.2,1.70318,403.43283
39.6,46.2,1.67891,403.40753
40.4,47.6,1.68697,403.27103
39.7,46.4,1.66288,403.32013
38.7,47.3,1.65889,403.36359
39.6,46.1,1.71134,403.36984
39.6,45.9,1.71542,403.46469
40.4,45.4,1.67489,403.43918
39.1,43.9,1.71952,403.47751
38.9,45.1,1.68293,403.44556
39.8,48.2,1.67891,403.43283
39.3,47.0,1.68293,403.41382
39.2,44.9,1.69506,403.46469
39.8,45.7,1.66688,403.42017
41.1,48.0,1.6312,403.48392
39.1,47.5,1.65889,403.4711
38.9,46.7,1.67489,403.44556
39.7,45.7,1.74842,403.36984
38.9,44.3,1.75674,403.3761
40.5,46.7,1.70318,403.47751
40.0,47.4,1.66688,403.46469
39.5,46.4,1.7651,403.44556
39.7,46.0,1.71542,403.4711
39.6,45.0,1.68293,403.43918
39.1,45.4,1.68697,403.48392
38.5,45.4,1.71134,403.50323
39.5,45.0,1.70318,403.4711
40.5,47.4,1.69506,403.45831
38.2,46.1,1.69506,403.43918
39.1,46.1,1.70725,403.47751
38.7,45.8,1.65094,403.48392
40.0,48.2,1.72362,403.4968
41.3,48.2,1.69912,403.49036
44.9,53.2,1.70318,403.48392
43.5,50.7,1.74012,403.4968
53.5,63.2,1.71134,403.4968
66.3,78.8,1.74012,403.48392
81.2,96.1,1.72774,403.48392
138.0,164.0,1.74842,403.5683
171.10001,204.0,1.72362,403.53564
372.79999,428.20001,1.75674,403.5683
387.20001,442.0,1.76929,403.7832
357.0,405.89999,1.8592,403.90875
298.39999,335.60001,1.8944,403.95139
273.5,308.39999,1.92565,404.00879
245.0,278.0,1.90774,403.98718
229.0,263.29999,1.96187,403.98001
216.10001,248.89999,1.91668,403.97284
200.2,233.39999,1.94822,403.94424
189.39999,222.2,1.95731,403.95139
179.3,213.39999,1.98478,403.94424
171.3,201.39999,1.96643,403.90875
171.3,201.7,1.92565,403.90875
161.5,195.7,1.98478,403.92291
159.8,191.10001,1.94822,403.9017
158.7,191.89999,1.98018,403.89465
141.3,172.39999,1.98939,403.8876
141.60001,166.7,2.33436,405.82745
136.10001,159.60001,1.54656,405.30414
129.7,154.89999,1.48361,404.90613
133.60001,159.0,1.49091,404.63873
106.4,127.7,1.53156,404.54968
117.5,138.7,1.49823,404.44632
109.3,131.89999,1.47997,404.42276
110.3,128.60001,1.41921,404.36816
110.8,131.89999,1.44398,404.27588
109.2,129.7,1.37068,404.26068
111.1,129.60001,1.4052,404.21527
112.7,134.2,1.42625,404.18524
119.8,140.5,1.45829,404.09622
119.6,144.3,1.4052,404.06693
119.4,140.39999,1.45112,404.07422
118.6,136.5,1.4691,404.03778
118.5,140.3,1.49091,404.00879
117.6,137.60001,1.4547,403.98718
119.4,140.10001,1.40869,404.03778
118.5,143.2,1.4052,404.00879
120.4,141.2,1.41219,403.97284
119.9,141.3,1.36386,403.93002
116.7,141.0,1.30695,404.02325
116.9,139.0,1.55789,403.95853
115.8,136.39999,1.51297,403.92291
112.9,134.3,1.52039,403.91583
112.0,131.0,1.50191,403.91583
111.8,130.60001,1.53905,403.93002
111.0,131.7,1.51297,403.9017
112.1,132.89999,1.5353,403.84555
108.6,129.8,1.51667,403.91583
109.0,130.39999,1.56168,403.93002
109.9,129.5,1.5353,403.93713
108.4,129.89999,1.55789,403.97284
109.8,128.89999,1.51297,403.94424
104.6,121.9,1.53905,403.87354
101.7,120.3,1.55789,403.90875
109.1,126.4,1.58458,403.91583
104.8,123.8,1.5731,403.90875
101.3,118.6,1.52039,403.89465
102.8,121.7,1.51667,403.82468
101.5,118.8,1.52783,403.91583
101.1,120.9,1.59614,403.85953
100.4,117.7,1.55789,403.84555
101.7,120.8,1.54656,403.84555
98.4,117.4,1.50191,403.7901
